Timestamp,Entering Grade Level,District,Birth Month,OLSAT Verbal Score,OLSAT Verbal Percentile,NNAT Non Verbal Raw Score,NNAT Non Verbal Percentile,Overall Score,School Preferences,,School Assigned,Will you enroll there?,Timestamp
4/2/18,K,28,December,28,99,42,99,99,"NEST+M, otherwise stay at PS174Q G&T",,,"Have 7th grade sib at NEST+M, so hope to get in!","Yes, Testing Mom last summer"
4/2/18,K,28,July,20,91,36,99,97,"NEST, PS174Q",,,Have 7th grade sibling at NEST so hope to get in!,"Yes, Testing Mom over last summer"
4/6/18,K,2,March,24,98,36,98,98,,,,Maybe,"Yes, testing mom"
4/7/18,K,14,March,28,97,45,99,98,,,,Has anyone ever gotten into NEST+M or Anderson without a sibling with a 98?,"Minimally, test-prep online"
4/9/18,K,2,December,19,93,31,98,96,LL,,,Yes,"yes, home with mom/dad"
4/10/18,K,3,April,23,96,40,99,98,Anderson or 166 but not expecting to get in,,,,No
4/11/18,K,14,January,25,99,46,99,99,"NEST+M, Andreson, district",,,,
4/14/18,K,2,October,21,97,37,99,98,"NEST, Anderson, PS33",,,Yes,
4/14/18,K,2,October,25,95,47,99,98,,,,,
4/16/18,K,2,August,26,99,40,99,99,Anderson,,,yes,
4/17/18,K,30,February,25,99,37,98,99,"Q300, NEST, PS 150(district)",,,,Minimal at home
4/24/18,K,13,September,23,98,37,99,99,"Anderson, PS9 Brooklyn",,PS9 Brooklyn,Yes,At home with dad (Testing Mom)
6/1/18,K,3,May,26,99,40,99,99,"Anderson, TAG, 166, 163",,TAG,Not sure.,
6/4/18,K,17,September,24,99,36,99,99,"Anderson, NEST, Q300",,Anderson,Yes,Testingmom.com materials with mom and dad
6/4/18,K,3,February,29,99,42,99,99,"Anderson, TAG",,,"Currently in District 3 G&T, yes will switch",No
6/5/18,K,2,March,26,99,47,99,99,"Anderson, Nest, LL, PS11",,Anderson,Yes,Yes
6/5/18,K,27,November,27,99,44,99,99,"Nest, BSI, TAG, 30th Ave School",,TAG,Unsure,Yes
6/5/18,K,13,April,20,90,39,99,96,PS38,,PS38,Yes (sibling is already in G&T in PS 38),"Yes, just at home with a book for a couple of weeks"
6/7/18,K,30,January,26,99,37,98,99,"NEST+M, Q300, PS166/PS150 (District)",,PS 166,Yes,No
